Name,FirstParagraph
Walid Sadek,"The early work of artist and writer Walid Sadek investigated the violent legacies of the Lebanese civil war (1975-1990) as partially and inadequately seen and experienced by a young Christian-born Lebanese. He later began to posit, mostly in theoretical texts, ways of understanding the complexity of lingering civil strife in times of relative social and economical stability. His recent written work, in art and in writing, endeavours to structure a theory for approaching the ambivalence of living through a protracted civil-war."
Walid Siti,"Born in Duhok, Kurdistan-Iraq, in 1954. Lives and works in London."
Wang Jianwei,"b. 1958, Sichuan, ChinaLives and works in Beijing, China"
"What, How & for Whom","What, How & for Whom/WHW is a curatorial collective formed in 1999 and based in Zagreb, Croatia. Its members are Ivet ´Curlin, Ana Devi´c, Nataša Ili´c and Sabina Sabolovi´c, and the designer and publicist Dejan Krši´c. WHW organizes a range of production, exhibition and publishing projects and directs the Gallery Nova in Zagreb. What, how and for whom, the three basic questions of every economic organization, concern the planning, concept and realization of exhibitions as well as the production and distribution of artworks and artists’ position in the labour market. These questions formed the title of WHW’s first project dedicated to the 150th anniversary of the Communist Manifesto (2000) in Zagreb, and became the motto of WHW’s work."
Wissam Shawkat,"b. 1974, Basra, IraqLives and works in Dubai, UAE"
Yang  Fudong,"b. 1971, Beijing, ChinaLives and works in Shanghai, China"
Yang  Shaobin,"b. 1963, Hebei, ChinaLives and works in Beijing, China"
Yazan Khalili,"Born in 1981, Yazan Khalili lives and works in Palestine. Khalili received a degree in architecture from Birzeit University and graduated with a Masters degree from the Centre for Research Architecture at Goldsmiths College, London."
Yazan Khalili,"Born in 1981, Yazan Khalili lives and works in Palestine. Khalili received a degree in architecture from Birzeit University and graduated with a Masters degree from the Centre for Research Architecture at Goldsmiths College, London."
Yazan Khalili,"Born in 1981, Yazan Khalili lives and works in Palestine. Khalili received a degree in architecture from Birzeit University and graduated with a Masters degree from the Centre for Research Architecture at Goldsmiths College, London.He has participated in numerous shows internationally, including Sandi Hilal and Alessandro Petti’s project Ramallah Syndrome in the Palestine c/o Venice Pavilion at the 53rd Venice Biennale (2009). In 2009, alongside Lara Khaldi, Khalili co-curated We Were Never Heroes as part of the Jerusalem Show, and Independent Film in Palestine, at the Arab Shorts Festival presented by the Goethe Institute, in Cairo."
Yazan Khalili,"b. 1981, Damascus, Syria"
Yazid Oulab,"Informed by the issues surrounding Western Art, drawing from a literary and poetic tradition, the work of Yazid Oulab is a quest for meaning. In his sculptures, videos, installations and also his drawings, the artist declines an iconography linked to his own experience: everyday objects (jars, scales, crates, carpets) , sometimes with a sacred association (incense sticks, sacrificial knives), or to the building trade which he practised in order to finance his studies (trowel, carpenter’s pencil, scaffolding)."
Yonamine,"Painting, drawing, engraving, graffiti, photography, video and installation intermesh to create a discourse which contains as much criticism and disruptive power as it does a sort of velvet violence or if you will, an aesthetic violence."
Younès Rahmoun,"Younès Rahmoun was born in 1975 in Tetouan, in Morocco, where he currently lives and works. He studied at the National Fine Arts Institute of the city and set up his workshop, in 1998, in a small room of the family house which later inspired his series of installations Ghorfa."
Yousef Jaha,Yousef Jaha (1953) was born in Makkah and holds a BA in art education (1983) from Umm Al-Qura University in Makkah. He is both an artist and a primary school art teacher. The spirituality and landscape of Makkah as well as the curiosity and innocence of his pupils have influenced his work. In the Edge of Arabia exhibition in London in 2008 he participated with two expressionist oil paintings of 120 x 120 cm from 2004 titled Nature's Form I & II. (2009).
Youssef  Abdelkė,"Youssef Abdelké is a painter and engraver. He graduated from the Faculty of Fine Arts, Damascus and the École nationale supérieure des Beaux-Arts, Paris. He obtained a doctorate in Fine Arts from the University of Paris VIII. Abdelké has participated in several exhibitions including the Sharjah Biennial (1995 and 2001), Arab Studios (Khan Asaad Pasha presented by Atassi Gallery, Damascus and Beirut, 2001), the 8th Cairo Biennial (2001), the Ayyam Gallery opening (Damascus, 2006 and Dubai, 2007) among others. Abdelké’s artwork is part of the British Museum collection, the Arab World Institute, Amman Museum of Modern Art and the National Museum of Kuwait. His work also includes posters, book designs, illustrations for periodicals and children’s books and caricatures. He has published several caricatures and writes regularly for numerous Arab and international magazines and newspapers."
Youssef Nabil,"Brought up on the great era of Egyptian cinema Youssef Nabil retains a feeling of nostalgia for the glamorous aestheticism of the ‘40s and ‘50s. Born in Egypt in 1972, he grew up in the streets of Cairo where hand-painted cinema posters gave the walls a timeless elegance, whilst classics from a past era shown on television were to inspire his first love of the big screen."
Youssef Nabil,"Born in Egypt in 1972 and based in New York, Youssef Nabil grew up in a Cairo drenched in the golden age cinema of Hollywood on the Nile: a black and white film world in which he nostalgically recalls the glamour, the ease, the elegance and the melodrama.   His photos evoke the deliciously outmoded feel of the photo-novels that accompanied cinema at the time and highlight in each portrait the extraordinary character of his models, distinguished artists, actors, singers and friends."
YOVO! YOVO!,"Eylien König, Martina Mahlknecht, Martin Prinoth and Doris Margarete Schmidt"
Yto Barrada,"Born in 1971, Yto Barrada grew up between Paris and Tangier, Morocco. She studied history and political science at the Sorbonne, and photography at the International Center of Photography in New York. Recent exhibitions of her work include the Fowler Museum, Los Angeles; the San Francisco Museum of Modern Art; the Museum of Modern Art, New York; and the Centre Georges Pompidou, Paris. Since 2006, Barrada has been the director and co-founder of the Cinémathèque de Tanger in Morocco. Her 2011 exhibitions – of photography, film, publications, prints and sculptures – include her artist-of-the-year show at the Deutsche Guggenheim, Berlin, and the 54th Venice Biennale where her work will be shown as part of curator Bice Curiger’s ILLUMInations exhibition and at the Pinault Foundation in the Palazzo Grassi. Yto Barrada is represented by Galerie Polaris, Paris and Galerie Sfeir Semler, Hamburg & Beirut. www.ytobarrada.com"
Yto Barrada,Yto Barrada developed her interest in photography while documenting roadblocks on the West Bank in Jerusalem for her political science dissertation.
Yu-ichi  Inoue,"b. 1916, Tokyo, Japan"
Yuk King Tan,"Yuk King Tan (b. 1971, Townsville, Australia) lives and works in Hong Kong. In the past decade, she has held solo exhibitions at Overflow City Gallery in Wellington, Sue Crockford Gallery in Auckland, Kunstlerhaus Schloss Wiepersdorf, and Camden Arts Centre in London, among other places. Tan has participated in group exhibitions such as the Barcelona Video Festival (2006); the Guangzhou Triennial (2005); the São Paulo Biennial (2004); and the Baltic Triennial of International Art, Lithuania (2002)."
Yuko Hasegawa,"Yuko Hasegawa is Chief Curator of the Museum of Contemporary Art, Tokyo (MOT) and Professor of curatorial and art theory at Tama Art University in Tokyo. She was a Chief Curator and Founding Artistic Director (1999−2006) of the 21st Century Museum of Contemporary Art, Kanazawa. Her responsibilities included the architectural design, collections and programs."
Yusef A. Lateef,"Yusef A. Lateef was born William Emanuel Huddleston on October 9, 1920 in Chattanooga, Tennessee and moved with his family to Detroit in 1925. In Detroit’s fertile musical environment, Yusef soon established long-standing friendships with such masters of American music as Milt Jackson, Tommy Flanagan, Barry Harris, Paul Chambers, Donald Byrd, the Jones brothers (Hank, Thad and Elvin), Curtis Fuller, Kenny Burrell, Lucky Thompson and Matthew Rucker. He was already proficient on tenor saxophone while in high school, and at the age of 18 began touring professionally with swing bands led by Hartley Toots, Hot Lips Page, Roy Eldridge, Herbie Fields and eventually Lucky Millender. In 1949 he was invited to join the Dizzy Gillespie Orchestra."
Zahra Bu Ali,"Zahra Bu Ali (1953) is an allround artist from Alhasa with Canadian training. She lives in Dammam. She is both a printmaker and painter as well as a sculptor and ceramist. She has made an artist's book as well. And she teaches, lectures. And writes. And if you look at it all, it has a poetic quality and one of the night. And it is polite. And mature. So she is good. And like more Saudi artists she is a member of the Bahrain arts society. On their site her long record, since 1988, of participating in exhibitions around the Middle East, in Canada and in the United States can be read. And images can be seen of her work. They are also on a website of women online around te world. On a site of worldprintmakers the information is most recent. About her solo exhibition of 59 works in Bahrain in 2008 and her continued studies of the technique of etching. Perhaps her work is at its best when the human face disappears into a vision of a larger tale."
Zaina Zahid,"Zaina Zahid is an oil painter who is inspired by architectural forms and believes that colours have the power to heal. She has had a solo exhibition at the Saudi Art Centre in Riyadh in February 2009. For this exhibition 'Days of Old' she was quoted by the Saudi Gazette to have tried to be realistic but that it turned into semi-fantastic. She spoke of her painting The Absence of Quais which was inspired by 'Quais and Layla,' a legendary love story in both Persian and Arabic literature. The love poet inspired by Layla is absent in the painting as is in reality the actual author of the poems, who's identity, she said, remains a mystery."
Zaman M Jassim,Zaman M. Jassim (1971) is a teacher of art education in Qatif and is a member of the Qatif Arts Group and the Bahrain Art Society. He has joined exhibitions around KSA and in Europe frequently.
Zanny Begg,Zanny Begg was born in 1972. She is an inter-disciplinary artist whose work revolves around the politics and architecture of space. She is a founding member of the art collective You Are Here and co-initiator of There Goes The Neighborhood. She lives in Sydney.
Zbyněk  Baladrán,"Zbyněk Baladrán is a visual artist and curator born in 1973 in Prague where he currently resides. He is also the co-curator, with Vít Havranek, of the long term project Monument to Transformation and was part of the team of curators (Alexandria Contemporary Arts Forum, Chamber of Public Secrets, and tranzit.org) for Manifesta 8, 2010."
Zeinab  Al Hashemi,"b. 1986, Dubai, UAELives and works in Dubai"
Zena el Khalil,"Zena El Khalil uses a very personal visual language, marked by disillusion, irony and romance. Her universe illustrates the madness and contrasts of a city like Beirut, where war is always latent and where bombs punctuate people’s existence."
Zeynab Movahed,"Woman … isolation … daily routines …  repetition … a silent protest and a strip of bark from a tree wrapped around every layer of her life from which escape is now impossible; and a head, whose face and thoughts are worthless  … it is only her body that is visible … the cycle is endless …"
Zhang  Hui,"b. 1967, Heilongjiang, China"
Ziad Abillama,"Ziad Abillama was born in 1969 in Lebanon. He studied at the Rhode Island School of Design and Amherst College, USA. The artist states that he was reborn in the US during the first Gulf War in 1991, and later returned to Lebanon where he now lives and works."
Ziad Antar,"Ziad Antar was born in 1978 in Saida, Lebanon. He obtained a degree in Agricultural Engineering in 2001 and has been working with video and photography since 2002. Antar’s work is held in a number of international institutions including the Centre Georges Pompidou, Paris and the FRAC Centre (Fonds Regional d’Art Contemporain). His work has been exhibited around the world, most recently at the Sharjah Biennial (2011) and as part of Live Cinema/In the Round: Contemporary Art from the East Mediterranean at the Philadelphia Museum of Art, USA. Ziad Antar is represented by Selma Feriani Gallery, London."
Ziad Antar,"His videos undeniably testify to a world in conflict, but using a rather playful and light tone, Ziad Antar’s work immediately seduces.Focusing on a precise idea, Ziad Antar’s videos express life problems (sometimes linked to war) with a short shot and with simple means. It is with disconcerting ease and efficiency that Ziad Antar confronts the viewer with burning questions, without expressing any position and without empathy."
Ziad Antar,Lebanese photographer Ziad Antar uses photography and video in work where the artist's quiet and reflective stance reveals the social and political structures that influence daily life.
Ziad Dalloul,"Ziad Dalloul graduated from the Faculty of Fine Arts, Damascus in 1977. He then studied at the École nationale supérieure des Arts Décoratifs in Paris, where he has been living ever since. He has widely exhibited his work in Europe and the Middle East including venues such as the L'Institut du Monde Arabe in Paris (2005) and the Shoman Foundation in Amman (1997). As a painter and engraver, he is represented by the Galerie Claude Bernard in Paris. He has published several art books in collaboration with the Syrian poet Adonis."
Zineb Sedira,"Zineb Sedira was born in Paris to Algerian parents in 1963. She studied at the Central St Martin’s School of Art and the Slade School of Art, followed by research studies at the Royal College of Art. The artist's photographs and video installation use the perspective of her own experience to frame questions about language, transmission, memory and mobility."
Zineb Sedira,"b. 1963, Paris, FranceLives and works in London, United Kingdom"
Zoulikha Bouabdellah,"French-Algerian artist born in 1977 in Moscow, Zoulikha Bouabdellah grew up in Algiers until the civil war forced her to leave her country and come to settle in France with her family in 1993. Her work based on transgression, draws its inspiration from this plural identity. Through installations, videos or photographs and the notion of otherness, the works of Zoulikha Bouabdellah question our dominant political, social, moral, religious or even formal representations."
Zoulikha-Bouabdellah,"Zoulikha Bouabdellah (b. 1977, Moscow) graduated from the Ecole National Superieure d’Arts de Cergy-Pontoise in 2002 in Paris. Though she had initially favored video, she now works in a multitude of media challenging cultural dualities and imbalances, as well as cultural fusion and the ability to transcend borders. Bouabdellah adopts a strong feminist stance via forms that move beyond permissible forms."
